Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,10-Jun-19,2181.75,2196.7,2235.85,2185.5,2229.1,2231.5,2219.98,2080593,4618876310,106316,814523,39.15
TCS,EQ,11-Jun-19,2231.5,2237,2263.95,2231,2252,2252.8,2250.89,3048937,6862835495,148188,1367975,44.87
TCS,EQ,12-Jun-19,2252.8,2245,2266.9,2219,2264,2260.9,2241.29,2404448,5389074309,141774,1036077,43.09
TCS,EQ,13-Jun-19,2260.9,2264,2285,2243.05,2244,2254.1,2265.77,3320916,7524421056,138967,1358755,40.92
TCS,EQ,14-Jun-19,2254.1,2257.25,2263.1,2234,2249.8,2254.5,2250.08,2131408,4795830704,130534,947049,44.43
TCS,EQ,17-Jun-19,2254.5,2256,2262,2241.45,2244,2249.2,2252.43,1489497,3354989739,82160,649266,40.43
TCS,EQ,18-Jun-19,2249.2,2244,2260,2231.2,2253.5,2250.85,2245.75,1877447,4216271605,148431,959921,49.34
TCS,EQ,19-Jun-19,2250.85,2255,2276,2243.15,2261.2,2259.9,2262.19,1652817,3738994073,88350,715271,43.28
TCS,EQ,20-Jun-19,2259.9,2230,2284,2212,2283.3,2277.95,2248.36,2199377,4944988185,123696,870081,39.56
TCS,EQ,21-Jun-19,2277.95,2285,2292.5,2242,2252.05,2249.85,2255.87,3871804,8734275729,141057,2767225,71.47
TCS,EQ,24-Jun-19,2249.85,2254.15,2280,2250.8,2277,2275.5,2267.8,1382424,3135065459,78153,528471,38.23
TCS,EQ,25-Jun-19,2275.5,2270,2274.45,2250.5,2263,2267.8,2264.08,1386077,3138189677,99699,598681,43.19
TCS,EQ,26-Jun-19,2267.8,2265,2266.8,2250,2253.05,2254.2,2259.22,1762224,3981246152,94030,931941,52.88
TCS,EQ,27-Jun-19,2254.2,2255,2264,2241.3,2261.5,2252.55,2254.5,2813464,6342943270,138850,1814968,64.51
TCS,EQ,28-Jun-19,2252.55,2260,2261.95,2222.5,2228,2227.2,2234.73,2372928,5302849983,115508,1468460,61.88
